iter	Logloss
162	0.5787782879
163	0.5786454334
164	0.5785188374
165	0.578308439
166	0.5774768458
167	0.5773298152
168	0.5771955733
169	0.5769327277
170	0.5767519554
171	0.5766656702
172	0.5765705819
173	0.5763584568
174	0.5760032648
175	0.5758123674
176	0.5755759341
177	0.5754253169
178	0.5751248064
179	0.5748530022
180	0.5747448121
181	0.5745484797
182	0.5743028218
183	0.5736687806
184	0.5734378808
185	0.5732421017
186	0.5731488547
187	0.5728560279
188	0.5725912025
189	0.5724200107
190	0.572332459
191	0.5721719129
192	0.5718575793
193	0.571690517
194	0.5715243753
195	0.571295206
196	0.5710423613
197	0.570905364
198	0.5707545895
199	0.5705962376
200	0.5704179911
201	0.570201314
202	0.570053222
203	0.5698454875
204	0.5696965045
205	0.5695064653
206	0.5692986857
207	0.5690543123
208	0.5689136673
209	0.5686826535
210	0.5685111374
211	0.5683390949
212	0.5681469208
213	0.5680643958
214	0.5673791602
215	0.5670073474
216	0.5669007501
217	0.5667543328
218	0.5665121293
219	0.5663579543
220	0.565648729
221	0.5655413862
222	0.5653767976
223	0.5650751723
224	0.56488697
225	0.5647255737
226	0.5645535398
227	0.5644481294
228	0.5642164186
229	0.5640811443
230	0.5638319624
231	0.5634154931
232	0.5633369314
233	0.5632077111
234	0.5630759562
235	0.5628851039
236	0.5626996201
237	0.5625933227
238	0.5624735862
239	0.562284307
240	0.5620006434
241	0.5615930086
242	0.5614381631
243	0.56120724
244	0.5608805299
245	0.5605694975
246	0.5603343063
247	0.560070718
248	0.5599688891
249	0.5596444794
250	0.5595214592
251	0.5592928319
252	0.5591667312
253	0.5589636183
254	0.5587297193
255	0.5585991126
256	0.5584209739
257	0.5581924693
258	0.5580222435
259	0.5578164365
260	0.5576827789
261	0.5574798427
262	0.5567929804
263	0.5565452569
264	0.5563446814
265	0.5561445135
266	0.5560358059
267	0.5558019769
268	0.5556831747
269	0.5555242109
270	0.5552370467
271	0.5550421238
272	0.5548990796
273	0.5546341045
274	0.5545445436
275	0.5544488545
276	0.5543697624
277	0.5540676218
278	0.5539429394
279	0.5536468775
280	0.553352463
281	0.5532063638
282	0.5530301478
283	0.5528157983
284	0.5526622155
285	0.5525067605
286	0.5521942543
287	0.5518690394
288	0.5515465704
289	0.5512919598
290	0.5509874273
291	0.5508799391
292	0.5507309146
293	0.5506192381
294	0.5504904918
295	0.5502979203
296	0.5499194567
297	0.549848085
298	0.5497191922
299	0.5495074871
300	0.5491662191
301	0.5490227236
302	0.5487757377
303	0.5485527536
304	0.5478385328
305	0.5476378748
306	0.5474147963
307	0.5472252193
308	0.5469176031
309	0.5468402971
310	0.5466204014
311	0.546393738
312	0.5461238387
313	0.54593312
314	0.5457406245
315	0.5455937209
316	0.545454383
317	0.5452350573
318	0.5449182192
319	0.544753228
320	0.5445170676
321	0.544298804
322	0.5441576967
323	0.5439675649
324	0.5438109825
325	0.5436260724
326	0.5434190179
327	0.5432001826
328	0.5430829835
329	0.542834477
330	0.5426338652
331	0.5424783826
332	0.542307435
333	0.5420753606
334	0.5419091677
335	0.5416601527
336	0.541474231
337	0.5413367031
338	0.541013476
339	0.5409297208
340	0.5407508822
341	0.5405968025
342	0.540361471
343	0.5401290507
344	0.5398752967
345	0.539683044
346	0.5394504868
347	0.5389502761
348	0.5388020535
349	0.5386463571
350	0.5384688551
351	0.538156753
352	0.5379873287
353	0.537730452
354	0.5376829028
355	0.5375731204
356	0.537395702
357	0.5371047735
358	0.5369211402
359	0.5366951771
360	0.5364382216
361	0.5362362675
362	0.5360668524
363	0.5358994109
364	0.5356956558
365	0.5355110509
366	0.5352128546
367	0.5347939043
368	0.5345327055
369	0.5342534882
370	0.5340532432
371	0.533904099
372	0.5336927005
373	0.5334639896
374	0.5333037192
375	0.5330948128
376	0.5328767252
377	0.5326819715
378	0.5325168997
379	0.5324411171
380	0.5321953001
381	0.5319623362
382	0.5317655949
383	0.5316180399
384	0.531444151
385	0.5313097462
386	0.5310497546
387	0.5308360779
388	0.5306135373
389	0.530387525
390	0.5301079818
391	0.5298315555
392	0.5296274603
393	0.5294513934
394	0.5292514845
395	0.5290798658
396	0.5289057795
397	0.5283062898
398	0.5280991378
399	0.5279670942
400	0.5276783504
401	0.5274841213
402	0.5273328125
403	0.5270908409
404	0.5269075343
405	0.5265974366
406	0.5265142923
407	0.5263264703
408	0.5260551614
409	0.5258766498
410	0.5256110969
411	0.5255447139
412	0.5253121754
413	0.5251173764
414	0.5246035148
415	0.5242923342
416	0.5240113133
417	0.5237084792
418	0.5234715935
419	0.5232004758
420	0.5230066457
421	0.522665777
422	0.5223789547
423	0.5221969864
424	0.5220415796
425	0.5217462191
426	0.5215662434
427	0.5214257695
428	0.5212662827
429	0.5209915579
430	0.5207788136
431	0.5206503182
432	0.5204518202
433	0.5202774432
434	0.520003074
435	0.5198063154
436	0.5196319261
437	0.5194377496
438	0.5192900986
439	0.519177509
440	0.5189881388
441	0.5188646669
442	0.5187749213
443	0.5185065292
444	0.5183283903
445	0.5182026871
446	0.517911789
447	0.5176342944
448	0.5174388188
449	0.5172918421
450	0.5170828262
451	0.5169270553
452	0.51665874
453	0.5164773246
454	0.5162951426
455	0.5161319863
456	0.515675947
457	0.5153832317
458	0.5151352081
459	0.5149288779
460	0.5147228538
461	0.514438114
462	0.5142941044
463	0.5141469989
464	0.5139665962
465	0.5138129582
466	0.5135615502
467	0.5134655653
468	0.5133711245
469	0.5131664283
470	0.5129508507
471	0.5127872983
472	0.5125862298
473	0.5123484912
474	0.5120745614
475	0.5118646643
476	0.5117146054
477	0.5115346147
478	0.5113756566
479	0.5112041667
480	0.5111146246
481	0.5109273927
482	0.5107277085
483	0.510302566
484	0.5101931633
485	0.5100539403
486	0.5098461096
487	0.5096975023
488	0.5094993245
489	0.5092883206
490	0.5090855215
491	0.5089041105
492	0.5087714412
493	0.5086941315
494	0.5084658634
495	0.5082459527
496	0.508051739
497	0.5078248936
498	0.507662031
499	0.5074871888
