iter	Logloss
0	0.6901573253
1	0.6870864303
2	0.684617768
3	0.6819208661
4	0.6782863718
5	0.6725824943
6	0.668161745
7	0.6658246428
8	0.6638585371
9	0.6614299415
10	0.6595886882
11	0.6581967985
12	0.6545923514
13	0.6534871458
14	0.6523951655
15	0.6510724866
16	0.6482943066
17	0.6456902093
18	0.6444304721
19	0.6436519891
20	0.6399105187
21	0.6372117723
22	0.6364933299
23	0.6355286459
24	0.6349172442
25	0.6341862852
26	0.6322264835
27	0.6314975426
28	0.6294891805
29	0.6287590811
30	0.6281316121
31	0.6275185482
32	0.6267517736
33	0.6262353048
34	0.6259945048
35	0.6252427423
36	0.6246411271
37	0.6241921732
38	0.6237978213
39	0.6222809043
40	0.6216408874
41	0.6214448974
42	0.6201798733
43	0.6189424935
44	0.6185497645
45	0.6179701813
46	0.617388643
47	0.6167292619
48	0.6158243867
49	0.615091421
50	0.6146493476
51	0.6140692429
52	0.6136376894
53	0.6130103897
54	0.611954197
55	0.6115958298
56	0.6109706728
57	0.6108005249
58	0.6103110851
59	0.6099191739
60	0.6095766133
61	0.6092195688
62	0.6089321031
63	0.6084889587
64	0.6081589886
65	0.6078778372
66	0.6076233355
67	0.6063173196
68	0.6058406352
69	0.6055486178
70	0.6052628299
71	0.6050356049
72	0.6046547893
73	0.604339448
74	0.6040936379
75	0.603803904
76	0.6034762538
77	0.6032485637
78	0.603007255
79	0.602719535
80	0.6021814258
81	0.6017760069
82	0.601526729
83	0.6012505055
84	0.6008000885
85	0.6006294176
86	0.6004235598
87	0.6002353301
88	0.5984303465
89	0.5982042652
90	0.5980348779
91	0.5977528534
92	0.5974822505
93	0.5972715591
94	0.5971412965
95	0.5969528085
96	0.5967830893
97	0.5965335111
98	0.5962900323
99	0.5959237758
100	0.5955871177
101	0.5953953945
102	0.5951929565
103	0.5949775824
104	0.5947727798
105	0.5943915762
106	0.5942247358
107	0.5938887442
108	0.5936062772
109	0.5933984745
110	0.5930513836
111	0.5922780128
112	0.5920967749
113	0.591820641
114	0.5916554505
115	0.591323643
116	0.591052392
117	0.5907159295
118	0.5905068805
119	0.5902799871
120	0.5901108055
121	0.5899872282
122	0.5897882723
123	0.5890322717
124	0.5888695097
125	0.5886644846
126	0.5884234125
127	0.5882352308
128	0.5880826397
129	0.5877619972
130	0.5874743785
131	0.5871247301
132	0.5867745767
133	0.5865036589
134	0.5861941739
135	0.5860717723
136	0.585297447
137	0.5850940794
138	0.5849784093
139	0.5847642338
140	0.5846095198
141	0.5842584204
142	0.5840043236
143	0.5836049047
144	0.5833129697
145	0.5831072567
146	0.5829623167
147	0.5828239884
148	0.5826030682
149	0.5824886735
150	0.5823507871
151	0.582117854
152	0.5818792688
153	0.5816985706
154	0.5814482846
155	0.5811992722
156	0.5810439056
157	0.5806915987
158	0.5804682655
159	0.5796603692
160	0.5795724445
161	0.5794312189
